,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
294,0.123,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.795,170.667,0.6509999999999999,0.0,11,0.2,-5.5870000000000015,0,What It's Like to Be Me,0.0,2001,0.0912,100.045,spotify:track:29FOdbZI0hA0x4svieTQo6,0.68,pop
295,0.119,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']","['Britney Spears', 'Ying Yang Twins']",0.8640000000000001,289.4,0.87,0.0,8,0.508,-2.77,1,(I Got That) Boom Boom,0.53,2003,0.147,109.987,spotify:track:5epx5YtoMbV0GrL9qx9kVY,0.8370000000000001,pop
296,0.0249,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.774,198.8,0.838,0.025,5,0.242,-3.914,0,Toxic,0.79,2003,0.114,143.04,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.924,pop
297,0.0394,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.828,201.907,0.662,2.02e-05,7,0.191,-6.419,1,Outrageous,0.54,2003,0.0461,105.014,spotify:track:2vPCRs3g0vdLU8sHlAEytO,0.847,pop
298,0.5760000000000001,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.551,259.467,0.8220000000000001,0.000176,9,0.135,-5.857,0,Touch of My Hand,0.45,2003,0.0559,100.005,spotify:track:1mRyi7vfCdLyQW4AeQKlnD,0.412,pop
299,0.0509,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.314,224.88,0.66,0.0,5,0.0928,-7.182,0,Shadow,0.4,2003,0.0439,141.121,spotify:track:4XEQZ9OqZb6xLxKsFppO3K,0.239,pop
300,0.0209,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7390000000000001,208.013,0.669,0.0,10,0.0863,-3.989,1,Brave New Girl,0.4,2003,0.0384,133.028,spotify:track:1YTuMc934yzN1PKjSIaspV,0.857,pop
301,0.966,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.398,230.307,0.284,8.57e-05,3,0.116,-12.852,1,Everytime,0.61,2003,0.0337,109.599,spotify:track:0dRhSF9LV0HR8Jwd3MMMKJ,0.114,pop
302,0.0599,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.755,198.093,0.944,0.0,8,0.332,-3.936,1,(You Drive Me) Crazy,0.08,1999,0.0342,104.006,spotify:track:36sAHywEsh50kaM6CpENHp,0.962,pop
303,0.404,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.743,245.053,0.755,0.0,10,0.0914,-5.337999999999999,1,Sometimes,0.0,1999,0.0255,96.009,spotify:track:7ba1zDhndzsJcOfqACnpYT,0.807,pop
304,0.271,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.763,207.267,0.8340000000000001,0.00027,1,0.263,-5.237,1,Lucky,0.37,2004,0.0329,95.017,spotify:track:4cHUfCT3yetKajxWKLhDlT,0.965,pop
305,0.128,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7070000000000001,203.0,0.923,0.000437,11,0.273,-3.957,1,Stronger,0.65,2000,0.0521,108.049,spotify:track:5QhBKPqsnX1uY9fZNaAtZg,0.8420000000000001,pop
306,0.3,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7509999999999999,211.16,0.8340000000000001,1.77e-05,1,0.355,-5.444,0,Oops!...I Did It Again,0.76,2000,0.0437,95.053,spotify:track:6naxalmIoLFWR0siv8dnQQ,0.894,pop
307,0.0876,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.847,216.707,0.8009999999999999,0.000204,9,0.7659999999999999,-3.838,1,What U See (Is What U Get),0.46,2000,0.0564,93.189,spotify:track:41cQPDvsP9vBCigVqQjnqg,0.841,pop
308,0.23,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.8079999999999999,223.533,0.7609999999999999,0.0,10,0.674,-5.614,0,Don't Go Knockin' on My Door,0.46,2000,0.0512,110.965,spotify:track:3HTkB9Nk04MJHkG0X6cL2R,0.92,pop
309,0.119,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.81,197.187,0.924,8.73e-05,0,0.149,-4.02,0,Can't Make You Love Me,0.43,2000,0.0356,108.016,spotify:track:7pY6xLJqmezJNG7VwuKVSH,0.868,pop
310,0.00135,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.601,318.346,0.926,0.022,9,0.055,-4.274,0,Touch Of My Hand - Bill Hamel Club Mix,0.0,2005,0.0432,125.009,spotify:track:2qfueTUy4dwq8qaDJO2x3i,0.411,pop
311,0.0307,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.826,265.187,0.693,0.272,11,0.0891,-5.947,0,Circus - Diplo Circus Remix,0.32,2009,0.161,125.009,spotify:track:7mQKKSqxpQD11s4Tf0tIhK,0.451,pop
312,0.00354,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']","['Britney Spears', 'Kaskade']",0.7509999999999999,368.08,0.675,0.0144,6,0.038,-4.9860000000000015,0,Gimme More - Kaskade Club Mix,0.32,2011,0.0419,126.009,spotify:track:4VKlvCnSSApLh0pAJ6asDv,0.677,pop
313,0.0155,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.601,187.893,0.7170000000000001,0.000164,7,0.114,-5.457999999999998,1,Blur,0.0,2008,0.0259,138.042,spotify:track:7cLa53ZoJHf2HXZcvWigQL,0.6579999999999999,pop
314,0.128,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.696,205.6,0.5870000000000001,2.17e-05,3,0.106,-6.992000000000001,0,Body Ache,0.44,2013,0.059,128.003,spotify:track:45MpoG2B3CEHoZa8OhrAw2,0.581,pop
315,0.262,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.611,236.0,0.732,0.00352,0,0.266,-6.0779999999999985,1,Alien,0.45,2013,0.0314,111.984,spotify:track:3eBxSM7L8AL5wcYd1t4NC0,0.375,pop
316,0.0187,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.5870000000000001,222.64,0.693,0.0,1,0.165,-5.348,0,Til It's Gone,0.43,2013,0.0614,127.991,spotify:track:6I9livBOOwAOV5YcVa9Npk,0.396,pop
317,0.205,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.629,261.0,0.726,0.00506,0,0.103,-9.679,0,Unusual You,0.0,2008,0.103,123.974,spotify:track:1EGdu2ftABIsOcfl9PILcc,0.473,pop
